idModelInstance,Parameter,Value,Unit,Description,Reference,Distribution
Cd_lifetime_Gastellu,AgeRef,30,yr,,,
Cd_lifetime_Gastellu,BWRef,70,kg,,,"uniform(65,75)"
Cd_lifetime_Gastellu,BWBirth,3.9,kg,,,
